Area Name,Labor Force,Employment,Unemployment Number,Unemployment Rate,Census Ratios Emp,Census Ratios Unemp
Bodfish CDP,500,400,100,26.3%,0.001029,0.003343
Boron CDP,"1,000",900,100,11.9%,0.002545,0.003110
Buttonwillow CDP,400,300,0,12.0%,0.000995,0.001221
California City city,"5,500","4,400","1,100",19.9%,0.012623,0.028543
China Lake Acres CDP,"1,200","1,100",100,11.0%,0.003130,0.003488
Delano city,"21,400","16,400","5,100",23.6%,N/A,N/A
Derby Acres CDP,200,100,0,20.7%,0.000373,0.000901
Dustin Acres CDP,100,100,0,0.0%,0.000396,0.000000
Edwards AFB CDP,300,300,0,9.6%,0.000758,0.000727
Fellows CDP,0,0,0,15.0%,0.000099,0.000145
Ford City CDP,"2,000","1,500",500,24.9%,0.004366,0.013167
Frazier Park CDP,"1,600","1,400",200,9.8%,0.004123,0.004040
Golden Hills CDP,"4,900","4,800",100,3.0%,0.013740,0.003837
Inyokern CDP,300,300,0,7.5%,0.000848,0.000639
Johannesburg CDP,0,0,0,0.0%,0.000090,0.000000
Keene CDP,200,200,0,0.0%,0.000452,0.000000
Kernville CDP,300,200,100,21.4%,0.000665,0.001657
Lake Isabella CDP,"1,100",800,200,23.6%,0.002322,0.006511
Lake of the Woods CDP,200,200,0,17.2%,0.000512,0.000959
Lamont CDP,"6,000","5,400",600,9.5%,0.015550,0.014853
Lebec CDP,400,300,0,5.1%,0.000973,0.000465
Lost Hills CDP,700,700,0,5.3%,0.002002,0.001017
Maricopa city,500,500,100,13.4%,0.001343,0.001889
McFarland city,"5,400","4,900",500,8.9%,0.014150,0.012557
McKittrick CDP,0,0,0,4.3%,0.000130,0.000058
Mettler CDP,100,100,0,5.0%,0.000325,0.000145
Mojave CDP,"1,600","1,400",200,9.7%,0.004117,0.004011
Mountain Mesa CDP,100,100,0,0.0%,0.000351,0.000000
North Edwards CDP,500,400,100,13.3%,0.001233,0.001715
Oildale CDP,"14,000","11,800","2,200",15.6%,0.034038,0.057319
Onyx CDP,200,200,0,19.7%,0.000492,0.001105
Pine Mountain Club CDP,800,700,100,17.5%,0.001982,0.003808
Randsburg CDP,0,0,0,0.0%,0.000023,0.000000
Ridgecrest city,"13,500","12,900",600,4.1%,N/A,N/A
Rosamond CDP,"8,700","7,800",900,10.7%,0.022390,0.024270
Rosedale CDP,"9,500","9,100",400,4.1%,0.026162,0.010057
Shafter city,"8,100","7,500",700,8.1%,0.021480,0.017091
South Taft CDP,"1,000",800,200,18.9%,0.002282,0.004825
Squirrel Mountain Valley CDP,300,200,100,22.4%,0.000566,0.001482
Stallion Springs CDP,900,900,0,3.5%,0.002511,0.000843
Taft city,"2,700","2,500",200,6.8%,0.007318,0.004825
Taft Heights CDP,700,600,100,10.4%,0.001731,0.001831
Tehachapi city,"3,500","3,100",300,9.4%,0.009046,0.008487
Tupman CDP,100,100,0,0.0%,0.000161,0.000000
Valley Acres CDP,300,200,100,30.5%,0.000563,0.002238
Wasco city,"8,900","7,700","1,200",13.8%,N/A,N/A
Weedpatch CDP,"1,100",800,300,27.3%,0.002217,0.007557
Weldon CDP,800,700,100,9.4%,0.002008,0.001889
Wofford Heights CDP,400,400,0,7.4%,0.001010,0.000727
,,,,,,
,,,,,,
Calaveras County                                            ,"21,610","20,360","1,250",5.8%,1.000000,1.000000
,,,,,,
Angels city,"1,600","1,490",100,6.5%,0.073297,0.082305
Arnold CDP,"1,040",980,70,6.4%,0.047923,0.053498
Avery CDP,180,140,50,26.2%,0.006614,0.038683
Copperopolis CDP,"1,850","1,670",170,9.3%,0.082256,0.136626
Dorrington CDP,200,200,10,3.0%,0.009681,0.004938
Forest Meadows CDP,660,600,70,10.0%,0.029223,0.052675
Mokelumne Hill CDP,430,430,0,0.0%,0.021105,0.000000
Mountain Ranch CDP,20,20,0,0.0%,0.000782,0.000000
Murphys CDP,880,860,20,2.3%,0.042030,0.015638
Rancho Calaveras CDP,"3,020","2,880",140,4.6%,0.141302,0.111111
San Andreas CDP,870,870,0,0.0%,0.042511,0.000000
Valley Springs CDP,"2,230","2,070",160,7.0%,0.101858,0.125103
West Point CDP,310,310,0,0.0%,0.015092,0.000000
,,,,,,
,,,,,,
Butte County                                                ,"92,200","85,900","6,400",6.9%,1.000000,1.000000
,,,,,,
Biggs city,"1,000",900,100,9.6%,0.010831,0.015579
Chico city,"51,800","49,000","2,800",5.4%,N/A,N/A
Concow CDP,100,100,0,5.5%,0.001216,0.000940
Durham CDP,"2,500","2,300",200,7.8%,0.027338,0.031292
Gridley city,"2,800","2,500",200,7.5%,0.029687,0.032366
Magalia CDP,"3,700","3,400",300,7.4%,0.039947,0.042976
Oroville city,"6,700","6,200",600,8.5%,0.071671,0.090250
Oroville East CDP,"2,900","2,600",200,7.8%,0.030675,0.035187
Palermo CDP,"1,900","1,800",100,7.2%,0.021008,0.022160
Paradise town,"1,800","1,600",100,8.2%,N/A,N/A
South Oroville CDP,"1,200","1,100",0,2.8%,0.013201,0.005238
Thermalito CDP,"2,500","2,200",200,8.9%,0.026143,0.034381
,,,,,,
,,,,,,
Colusa County                                               ,"10,670","9,330","1,340",12.5%,1.000000,1.000000
,,,,,,
Arbuckle CDP,"1,710","1,650",60,3.6%,0.176767,0.046512
Colusa city,"2,940","2,710",230,7.8%,0.290103,0.171735
Williams city,"2,930","2,270",660,22.5%,0.242923,0.491950
,,,,,,
,,,,,,
Contra Costa County                                         ,"544,000","509,300","34,700",6.4%,1.000000,1.000000
,,,,,,
Alamo CDP,"5,600","5,400",200,3.5%,0.010633,0.005599
Antioch city,"50,200","45,600","4,600",9.2%,N/A,N/A
Bay Point CDP,"11,600","10,400","1,200",10.6%,0.020383,0.035430
Bethel Island CDP,900,700,100,16.5%,0.001464,0.004241
Brentwood city,"29,000","27,200","1,800",6.3%,N/A,N/A
Byron CDP,800,700,100,13.7%,0.001434,0.003337
Clayton city,"4,800","4,600",200,4.8%,0.008997,0.006701
Clyde CDP,300,300,0,0.0%,0.000514,0.000000
Concord city,"63,100","59,300","3,700",5.9%,N/A,N/A
Crockett CDP,"1,700","1,600",100,7.5%,0.003107,0.003676
Danville town,"19,900","19,000",900,4.4%,N/A,N/A
Diablo CDP,200,200,0,0.0%,0.000419,0.000000
Discovery Bay CDP,"7,300","6,800",500,6.7%,0.013386,0.014025
East Richmond Heights CDP,"1,800","1,700",100,4.5%,0.003410,0.002375
El Cerrito city,"13,300","12,600",700,5.3%,N/A,N/A
El Sobrante CDP,"7,400","7,100",300,4.5%,0.013908,0.009670
Hercules city,"13,800","13,000",900,6.3%,N/A,N/A
Kensington CDP,"2,500","2,300",200,6.2%,0.004555,0.004411
Knightsen CDP,600,600,0,2.5%,0.001131,0.000424
Lafayette city,"11,800","11,300",500,4.1%,N/A,N/A
Martinez city,"19,600","18,600","1,100",5.5%,N/A,N/A
Moraga town,"7,000","6,600",400,5.7%,0.012881,0.011480
Mountain View CDP,"1,000","1,000",0,1.0%,0.002007,0.000283
Oakley city,"19,600","18,200","1,500",7.4%,N/A,N/A
Orinda city,"8,500","8,200",300,3.6%,0.016138,0.008737
Pacheco CDP,"2,900","2,600",200,7.7%,0.005179,0.006305
Pinole city,"9,300","8,800",400,4.4%,0.017369,0.011734
Pittsburg city,"33,800","31,000","2,800",8.3%,N/A,N/A
Pleasant Hill city,"17,300","16,400",900,5.3%,N/A,N/A
Port Costa CDP,100,100,0,9.9%,0.000231,0.000368
Richmond city,"51,900","47,700","4,200",8.1%,N/A,N/A
Rodeo CDP,"4,500","4,100",400,7.8%,0.008112,0.010123
Rollingwood CDP,"1,600","1,300",300,15.8%,0.002635,0.007239
San Pablo city,"13,500","12,400","1,100",8.1%,N/A,N/A
San Ramon city,"41,300","39,500","1,800",4.4%,N/A,N/A
Tara Hills CDP,"2,600","2,500",100,3.9%,0.004974,0.002997
Vine Hill CDP,"1,700","1,500",100,8.1%,0.003031,0.003959
Walnut Creek city,"33,000","31,400","1,600",4.8%,N/A,N/A
,,,,,,
,,,,,,
Del Norte County                                            ,"9,350","8,640",710,7.6%,1.000000,1.000000
,,,,,,
Bertsch Oceanview CDP,"1,020",950,70,6.5%,0.110114,0.093333
Crescent City city,"1,550","1,370",180,11.4%,0.158897,0.249333
Klamath CDP,290,240,50,17.5%,0.027366,0.070667
,,,,,,
,,,,,,
Imperial County                                             ,"69,000","57,000","12,100",17.5%,1.000000,1.000000
,,,,,,
Brawley city,"10,000","8,500","1,600",15.7%,N/A,N/A
Calexico city,"16,800","12,300","4,500",26.7%,N/A,N/A
Calipatria city,"1,200","1,000",200,18.7%,0.017670,0.019237
El Centro city,"18,100","15,500","2,600",14.3%,N/A,N/A
Heber CDP,"3,200","3,000",200,6.2%,0.053027,0.016594
Holtville city,"2,300","1,900",400,19.4%,0.032549,0.037100
Imperial city,"7,400","6,700",700,9.7%,0.117304,0.059402
Westmorland city,800,600,200,24.0%,0.010821,0.016066
,,,,,,
,,,,,,
El Dorado County                                            ,"91,900","86,600","5,300",5.8%,1.000000,1.000000
,,,,,,
Cameron Park CDP,"8,700","8,000",600,7.2%,0.092860,0.117346
Diamond Springs CDP,"5,100","4,700",400,8.0%,0.053730,0.076135
El Dorado Hills CDP,"22,900","21,800","1,100",4.9%,0.252058,0.212107
Georgetown CDP,"1,100",800,200,20.7%,0.009665,0.041211
Placerville city,"5,200","5,000",200,4.8%,0.057246,0.046566
Pollock Pines CDP,"2,700","2,600",100,4.7%,0.029797,0.023749
Shingle Springs CDP,"1,600","1,600",0,0.9%,0.018437,0.002794
South Lake Tahoe city,"12,900","12,200",700,5.4%,0.140521,0.129686
,,,,,,
,,,,,,
Fresno County                                               ,"444,500","403,900","40,600",9.1%,1.000000,1.000000
,,,,,,
Auberry CDP,"1,100","1,000",100,7.1%,0.002483,0.001898
Biola CDP,800,600,200,21.2%,0.001492,0.003996
Calwa CDP,900,800,200,18.6%,0.001857,0.004196
Cantua Creek CDP,100,100,0,0.0%,0.000332,0.000000
Caruthers CDP,900,800,100,10.2%,0.001999,0.002273
Clovis city,"56,100","53,100","3,000",5.4%,N/A,N/A
Coalinga city,"6,000","5,300",700,11.4%,0.013232,0.016958
Del Rey CDP,700,600,100,12.6%,0.001482,0.002123
Easton CDP,"1,100","1,100",100,6.6%,0.002634,0.001848
Firebaugh city,"3,000","2,500",600,18.4%,0.006127,0.013712
Fowler city,"2,900","2,600",300,8.8%,0.006488,0.006194
Fresno city,"231,300","212,400","18,900",8.2%,N/A,N/A
Friant CDP,200,200,0,6.9%,0.000469,0.000350
Huron city,"2,600","2,100",500,19.0%,0.005314,0.012388
Kerman city,"7,000","6,200",800,11.4%,0.015397,0.019781
Kingsburg city,"5,400","5,100",300,5.8%,0.012575,0.007717
Lanare CDP,300,200,100,20.8%,0.000517,0.001349
Laton CDP,600,600,100,11.1%,0.001415,0.001748
Mendota city,"5,000","4,400",600,12.2%,0.010864,0.015010
Orange Cove city,"3,800","3,300",500,13.3%,0.008074,0.012338
Parlier city,"6,400","6,100",300,5.2%,0.015031,0.008142
Raisin City CDP,100,100,0,35.0%,0.000221,0.001174
Reedley city,"12,400","10,400","2,000",15.8%,N/A,N/A
Riverdale CDP,"1,000",900,0,4.9%,0.002266,0.001149
San Joaquin city,"1,300","1,100",200,17.3%,0.002625,0.005470
Sanger city,"12,000","10,800","1,200",9.7%,N/A,N/A
Selma city,"10,600","9,600","1,000",9.5%,0.023800,0.024826
Shaver Lake CDP,100,100,0,5.8%,0.000325,0.000200
Squaw Valley CDP,"1,100","1,000",0,1.7%,0.002557,0.000450
Tranquillity CDP,200,200,0,19.4%,0.000421,0.000999
,,,,,,
,,,,,,
Glenn County                                                ,"12,630","11,740",890,7.0%,1.000000,1.000000
,,,,,,
Hamilton City CDP,"1,100","1,010",90,7.7%,0.086181,0.095238
Orland city,"3,520","3,300",220,6.2%,0.280973,0.246753
Willows city,"2,230","2,030",200,9.0%,0.172527,0.226190
,,,,,,
,,,,,,
Kings County                                                ,"55,500","50,100","5,400",9.7%,1.000000,1.000000
,,,,,,
Armona CDP,"1,700","1,600",100,7.4%,0.031633,0.023579
Avenal city,"3,900","3,400",500,13.6%,0.066925,0.097927
Corcoran city,"4,400","3,600",800,18.4%,N/A,N/A
Hanford city,"24,500","22,400","2,100",8.4%,N/A,N/A
Home Garden CDP,600,500,100,10.1%,0.010462,0.011029
Kettleman City CDP,400,400,0,3.4%,0.008480,0.002852
Lemoore city,"11,500","10,600",900,7.7%,N/A,N/A
Lemoore Station CDP,"1,000",900,100,8.9%,0.018027,0.016353
Stratford CDP,400,400,0,5.2%,0.008042,0.004183
,,,,,,
,,,,,,
Humboldt County                                             ,"58,900","55,200","3,700",6.3%,1.000000,1.000000
,,,,,,
Arcata city,"9,800","8,800","1,000",10.0%,0.159349,0.262896
Blue Lake city,400,400,0,6.3%,0.007276,0.007231
Eureka city,"11,900","11,200",700,6.2%,N/A,N/A
Ferndale city,500,500,0,4.1%,0.009004,0.005785
Fortuna city,"5,300","5,100",300,4.8%,0.091586,0.068134
Hydesville CDP,400,400,0,0.0%,0.007343,0.000000
McKinleyville CDP,"6,900","6,600",300,4.2%,0.119993,0.078579
Redway CDP,600,600,0,5.5%,0.011114,0.009802
Rio Dell city,"1,400","1,300",100,6.9%,0.023723,0.026032
Trinidad city,100,100,0,5.1%,0.002359,0.001768
Willow Creek CDP,500,400,0,4.1%,0.007974,0.005142
,,,,,,
,,,,,,
Inyo County                                                 ,"8,260","7,770",490,5.9%,1.000000,1.000000
,,,,,,
Big Pine CDP,670,640,40,5.2%,0.082097,0.071618
Bishop city,"1,920","1,830",90,4.7%,0.235878,0.185676
Cartago CDP,30,30,0,0.0%,0.003710,0.000000
Darwin CDP,0,0,0,0.0%,0.000000,0.000000
Dixon Lane Meadow Creek CDP,"1,150","1,020",130,11.2%,0.131522,0.262599
Furnace Creek CDP,90,90,0,4.5%,0.010890,0.007958
Independence CDP,250,240,10,2.8%,0.031235,0.013263
Keeler CDP,10,0,10,100.0%,0.000000,0.018568
Lone Pine CDP,510,480,40,6.8%,0.061513,0.071618
Mesa CDP,190,190,0,0.0%,0.024533,0.000000
Olancha CDP,70,70,0,0.0%,0.008497,0.000000
Round Valley CDP,190,190,0,0.0%,0.024055,0.000000
Shoshone CDP,10,10,0,0.0%,0.001436,0.000000
Tecopa CDP,40,40,0,0.0%,0.005266,0.000000
West Bishop CDP,970,910,60,6.5%,0.116563,0.127321
Wilkerson CDP,260,250,20,6.1%,0.031714,0.031830
,,,,,,
,,,,,,
Lake County                                                 ,"28,450","26,280","2,170",7.6%,1.000000,1.000000
,,,,,,
Clearlake city,"6,000","5,220",780,13.0%,0.198675,0.360490
Clearlake Oaks CDP,870,780,90,10.5%,0.029519,0.041958
Cobb CDP,420,400,20,4.5%,0.015171,0.008741
Hidden Valley Lake CDP,"2,610","2,420",190,7.3%,0.091928,0.087413
Kelseyville CDP,"1,570","1,380",190,11.9%,0.052530,0.086014
Lakeport city,"1,990","1,900",90,4.6%,0.072171,0.041958
Lower Lake CDP,370,360,10,2.2%,0.013603,0.003497
Lucerne CDP,"1,290","1,190",100,7.5%,0.045357,0.044406
Middletown CDP,810,740,70,8.6%,0.028225,0.032168
Nice CDP,910,850,60,6.4%,0.032498,0.026573
North Lakeport CDP,"1,300","1,290",10,1.0%,0.048924,0.005944
Upper Lake CDP,830,780,50,6.1%,0.029793,0.023427
,,,,,,
,,,,,,
Lassen County                                               ,"9,160","8,600",560,6.1%,1.000000,1.000000
,,,,,,
Susanville city,"3,400","3,240",170,5.0%,0.376201,0.303125
Westwood CDP,430,390,40,10.3%,0.044797,0.078125
,,,,,,
,,,,,,
Los Angeles County,"4,993,500","4,547,600","445,900",8.9%,1.000000,1.000000
,,,,,,
Acton CDP,"3,100","2,900",100,4.2%,0.000648,0.000291
Agoura Hills city,"11,000","10,200",700,6.8%,N/A,N/A
Alhambra city,"45,200","41,600","3,600",7.9%,N/A,N/A
Alondra Park CDP,"3,900","3,700",200,5.9%,0.000812,0.000522
Altadena CDP,"21,500","19,500","1,900",9.1%,0.004289,0.004368
Arcadia city,"28,200","26,300","1,900",6.6%,N/A,N/A
Artesia city,"7,800","6,900",900,11.1%,0.001523,0.001944
Avalon city,"1,900","1,900",0,0.0%,0.000424,0.000000
Avocado Heights CDP,"6,700","6,200",600,8.6%,0.001356,0.001305
Azusa city,"24,700","22,600","2,100",8.5%,N/A,N/A
Baldwin Park city,"33,900","30,700","3,200",9.4%,N/A,N/A
Bell city,"14,700","13,300","1,400",9.7%,N/A,N/A
Bell Gardens city,"17,600","15,800","1,700",9.9%,N/A,N/A
Bellflower city,"35,900","32,000","3,900",10.9%,N/A,N/A
Beverly Hills city,"17,400","16,100","1,200",7.1%,N/A,N/A
Bradbury city,400,300,0,12.9%,0.000068,0.000103
Burbank city,"58,000","52,300","5,700",9.8%,N/A,N/A
Calabasas city,"11,600","10,200","1,500",12.5%,0.002233,0.003269
Carson city,"45,200","40,700","4,500",9.9%,N/A,N/A
Cerritos city,"24,100","22,400","1,800",7.4%,N/A,N/A
Charter Oak CDP,"5,200","4,700",500,8.9%,0.001043,0.001036
Citrus CDP,"5,400","5,000",400,8.0%,0.001101,0.000976
Claremont city,"16,200","15,100","1,100",7.0%,N/A,N/A
Commerce city,"5,400","4,800",500,9.5%,0.001066,0.001142
Compton city,"38,900","33,900","5,000",12.9%,N/A,N/A
Covina city,"23,600","21,400","2,200",9.5%,N/A,N/A
Cudahy city,"9,700","8,900",900,9.0%,N/A,N/A
Culver City city,"22,200","20,500","1,600",7.3%,N/A,N/A
Del Aire CDP,"5,300","5,000",300,5.0%,0.001106,0.000596
Desert View Highlands CDP,"1,400","1,300",100,9.7%,0.000279,0.000307
Diamond Bar city,"29,100","27,100","2,100",7.1%,N/A,N/A
Downey city,"55,600","50,700","5,000",8.9%,N/A,N/A
Duarte city,"11,000","10,100",900,8.4%,0.002219,0.002067
East Los Angeles CDP,"54,400","49,600","4,800",8.9%,0.010905,0.010824
East Pasadena CDP,"2,600","2,500",100,4.3%,0.000554,0.000256
East San Gabriel CDP,"11,400","10,300","1,100",9.5%,0.002260,0.002431
El Monte city,"50,200","45,600","4,600",9.1%,N/A,N/A
El Segundo city,"9,900","9,200",800,7.7%,0.002012,0.001702
Florence Graham CDP,"28,200","24,700","3,500",12.3%,0.005437,0.007780
Gardena city,"29,800","26,900","3,000",10.0%,N/A,N/A
Glendale city,"101,600","92,400","9,200",9.0%,N/A,N/A
Glendora city,"25,000","23,100","1,900",7.5%,N/A,N/A
Hacienda Heights CDP,"26,300","24,400","1,900",7.1%,0.005374,0.004193
Hawaiian Gardens city,"6,500","6,000",500,7.2%,0.001330,0.001050
Hawthorne city,"43,600","39,100","4,500",10.4%,N/A,N/A
Hermosa Beach city,"11,300","10,600",600,5.5%,0.002339,0.001376
Hidden Hills city,900,800,100,5.8%,0.000184,0.000114
Huntington Park city,"25,700","23,400","2,300",8.9%,N/A,N/A
Industry city,100,100,0,10.0%,0.000024,0.000027
Inglewood city,"52,200","46,300","5,800",11.2%,N/A,N/A
Irwindale city,700,700,100,8.1%,0.000143,0.000128
La Canada Flintridge city,"8,600","8,100",500,6.3%,0.001778,0.001216
La Crescenta Montrose CDP,"9,800","8,900",900,9.4%,0.001961,0.002064
La Habra Heights city,"2,900","2,800",100,3.6%,0.000609,0.000234
La Mirada city,"23,300","21,500","1,900",8.0%,N/A,N/A
La Puente city,"18,700","16,900","1,700",9.3%,N/A,N/A
La Verne city,"15,800","14,600","1,200",7.6%,N/A,N/A
Ladera Heights CDP,"3,000","2,800",200,8.1%,0.000615,0.000555
Lake Los Angeles CDP,"4,000","3,600",400,10.7%,0.000786,0.000963
Lakewood city,"41,500","38,000","3,500",8.3%,N/A,N/A
Lancaster city,"64,500","56,500","8,000",12.4%,N/A,N/A
Lawndale city,"16,200","14,700","1,500",9.3%,N/A,N/A
Lennox CDP,"11,200","10,200","1,000",9.2%,0.002241,0.002314
Littlerock CDP,400,400,100,14.7%,0.000078,0.000136
Lomita city,"10,600","10,200",400,3.8%,0.002253,0.000897
Long Beach city,"232,500","210,300","22,200",9.6%,N/A,N/A
Los Angeles city,"2,050,200","1,868,300","181,900",8.9%,N/A,N/A
Lynwood city,"28,000","24,900","3,100",11.0%,N/A,N/A
Malibu city,"5,200","4,900",300,6.2%,0.001074,0.000723
Manhattan Beach city,"18,500","17,500","1,000",5.3%,N/A,N/A
Marina del Rey CDP,"6,900","6,400",400,6.1%,0.001414,0.000941
Mayflower Village CDP,"2,800","2,600",100,5.2%,0.000574,0.000324
Maywood city,"12,000","11,000","1,000",8.6%,N/A,N/A
Monrovia city,"21,200","19,600","1,500",7.1%,N/A,N/A
Montebello city,"28,400","25,700","2,800",9.7%,N/A,N/A
Monterey Park city,"28,700","26,300","2,400",8.5%,N/A,N/A
North El Monte CDP,"1,900","1,900",100,3.8%,0.000410,0.000166
Norwalk city,"49,400","44,600","4,800",9.7%,N/A,N/A
Palmdale city,"62,900","55,100","7,800",12.4%,N/A,N/A
Palos Verdes Estates city,"5,300","5,100",200,4.2%,0.001126,0.000503
Paramount city,"24,200","21,700","2,500",10.4%,N/A,N/A
Pasadena city,"77,600","71,900","5,700",7.4%,N/A,N/A
Pico Rivera city,"29,600","26,700","2,900",9.7%,N/A,N/A
Pomona city,"66,900","60,200","6,700",10.0%,N/A,N/A
Quartz Hill CDP,"4,500","4,200",300,6.2%,0.000926,0.000628
Rancho Palos Verdes city,"18,600","17,500","1,100",6.1%,N/A,N/A
Redondo Beach city,"39,300","36,800","2,600",6.5%,N/A,N/A
Rolling Hills city,500,500,0,9.1%,0.000107,0.000109
Rolling Hills Estates city,"3,400","3,100",300,9.1%,0.000675,0.000691
Rosemead city,"24,700","22,400","2,300",9.4%,N/A,N/A
Rowland Heights CDP,"23,700","21,600","2,100",8.8%,0.004751,0.004702
San Dimas city,"17,200","15,900","1,300",7.4%,N/A,N/A
San Fernando city,"11,600","10,800",800,6.9%,0.002370,0.001795
San Gabriel city,"20,800","19,200","1,600",7.5%,N/A,N/A
San Marino city,"5,600","5,300",300,4.5%,0.001172,0.000566
Santa Clarita city,"111,500","102,700","8,800",7.9%,N/A,N/A
Santa Fe Springs city,"8,700","8,200",500,6.0%,0.001800,0.001183
Santa Monica city,"54,200","50,400","3,800",7.0%,N/A,N/A
Sierra Madre city,"6,000","5,600",400,6.0%,0.001235,0.000805
Signal Hill city,"6,000","5,700",300,5.5%,0.001247,0.000745
