Area Name,Labor Force,Employment,Unemployment Number,Unemployment Rate,Census Ratios Emp,Census Ratios Unemp
San Gabriel city,"21,100","18,400","2,700",12.9%,N/A,N/A
San Marino city,"5,300","5,100",200,4.3%,0.001166,0.000378
Santa Clarita city,"110,800","98,200","12,600",11.3%,N/A,N/A
Santa Fe Springs city,"7,900","7,400",500,6.8%,0.001695,0.000883
Santa Monica city,"53,700","48,300","5,400",10.1%,N/A,N/A
Sierra Madre city,"5,600","5,100",500,9.4%,0.001162,0.000859
Signal Hill city,"5,800","5,400",400,6.7%,0.001235,0.000632
South El Monte city,"9,200","8,200","1,000",10.9%,0.001883,0.001650
South Gate city,"41,800","36,400","5,500",13.1%,N/A,N/A
South Pasadena city,"14,000","12,700","1,300",9.5%,N/A,N/A
South San Gabriel CDP,"3,900","3,500",400,9.4%,0.000813,0.000602
South San Jose Hills CDP,"9,200","7,800","1,400",15.4%,0.001788,0.002323
South Whittier CDP,"27,200","24,400","2,700",10.0%,0.005619,0.004470
Temple City city,"17,800","15,600","2,200",12.4%,N/A,N/A
Torrance city,"74,100","66,700","7,400",10.0%,N/A,N/A
Val Verde CDP,"1,700","1,400",300,16.1%,0.000323,0.000443
Valinda CDP,"11,500","10,200","1,300",11.3%,0.002352,0.002129
Vernon city,100,100,0,17.6%,0.000017,0.000027
View Park Windsor Hills CDP,"5,700","4,500","1,200",20.9%,0.001042,0.001966
Walnut city,"15,200","13,700","1,500",9.9%,N/A,N/A
Walnut Park CDP,"7,900","6,800","1,000",13.3%,0.001567,0.001715
West Athens CDP,"4,800","3,800","1,000",20.7%,0.000875,0.001630
West Carson CDP,"11,200","10,300",900,8.4%,0.002357,0.001550
West Covina city,"51,100","44,600","6,400",12.6%,N/A,N/A
West Hollywood city,"25,900","22,400","3,500",13.5%,N/A,N/A
West Puente Valley CDP,"11,100","9,700","1,500",13.3%,0.002219,0.002430
West Whittier Los Nietos CDP,"11,500","10,400","1,100",9.2%,0.002398,0.001724
Westlake Village city,"3,400","3,300",100,3.3%,0.000763,0.000183
Westmont CDP,"15,000","12,100","2,900",19.1%,0.002790,0.004691
Whittier city,"41,600","36,700","4,900",11.7%,N/A,N/A
Willowbrook CDP,"10,500","8,500","2,000",19.1%,0.001956,0.003295
,,,,,,
,,,,,,
Madera County                                               ,"62,100","55,200","6,900",11.1%,1.000000,1.000000
,,,,,,
Bonadelle Ranchos Madera Ranchos CDP,"2,200","2,000",200,8.5%,0.036696,0.027113
Chowchilla city,"4,600","4,300",300,7.5%,0.077295,0.049920
Madera Acres CDP,"4,300","3,900",300,8.1%,0.071490,0.050558
Madera city,"28,100","24,900","3,100",11.2%,N/A,N/A
Oakhurst CDP,"2,500","2,400",100,4.9%,0.042653,0.017544
Parksdale CDP,"1,300","1,000",300,25.8%,0.017296,0.048166
Parkwood CDP,"1,100",900,200,20.8%,0.015717,0.033014
Yosemite Lakes CDP,"1,900","1,800",100,5.8%,0.032554,0.016108
,,,,,,
,,,,,,
Mariposa County                                             ,"7,220","6,410",800,11.1%,1.000000,1.000000
,,,,,,
Bootjack CDP,150,140,10,4.1%,0.022129,0.007564
Mariposa CDP,440,410,30,6.2%,0.063784,0.033283
Yosemite Valley CDP,"1,110","1,010",110,9.5%,0.156639,0.131619
,,,,,,
,,,,,,
Mendocino County                                            ,"37,230","33,850","3,380",9.1%,1.000000,1.000000
,,,,,,
Covelo CDP,400,340,70,16.1%,0.009982,0.019231
Fort Bragg city,"2,740","2,540",200,7.3%,0.074928,0.059106
Laytonville CDP,350,230,120,33.9%,0.006904,0.035351
Mendocino CDP,440,430,10,3.2%,0.012658,0.004242
Point Arena city,180,160,20,10.7%,0.004683,0.005656
Ukiah city,"7,150","6,370",790,11.0%,0.188097,0.232183
Willits city,"1,970","1,750",220,10.9%,0.051701,0.063631
,,,,,,
,,,,,,
Merced County                                               ,"115,700","101,200","14,500",12.5%,1.000000,1.000000
,,,,,,
Atwater city,"12,100","10,600","1,500",12.2%,N/A,N/A
Delhi CDP,"5,400","4,700",800,14.4%,0.046049,0.053982
Dos Palos city,"2,400","2,000",400,17.5%,0.019643,0.029175
Gustine city,"2,600","2,400",200,8.4%,0.023277,0.014978
Hilmar Irwin CDP,"2,400","2,300",100,3.9%,0.022885,0.006475
Le Grand CDP,700,600,100,13.7%,0.005903,0.006553
Livingston city,"6,400","5,600",700,11.7%,0.055465,0.051252
Los Banos city,"17,200","14,500","2,700",15.9%,N/A,N/A
Merced city,"35,800","31,600","4,200",11.8%,N/A,N/A
Planada CDP,"1,800","1,400",300,18.1%,0.014198,0.021843
South Dos Palos CDP,500,400,100,20.5%,0.003830,0.006865
Winton CDP,"5,100","4,200",900,18.5%,0.041146,0.064982
,,,,,,
,,,,,,
Stanislaus County                                           ,"242,500","215,900","26,600",11.0%,1.000000,1.000000
,,,,,,
Bret Harte CDP,"1,800","1,300",500,25.4%,0.006168,0.017042
Bystrom CDP,"1,500","1,300",300,16.2%,0.005995,0.009393
Ceres city,"21,400","18,900","2,500",11.8%,N/A,N/A
Denair CDP,"2,800","2,400",400,15.6%,0.011046,0.016594
East Oakdale CDP,"1,100","1,000",100,5.1%,0.004713,0.002058
Empire CDP,"1,500","1,400",200,10.2%,0.006263,0.005770
Hughson city,"3,400","3,200",300,7.8%,0.014729,0.010153
Keyes CDP,"2,100","1,900",200,8.1%,0.008873,0.006307
Modesto city,"95,700","85,100","10,600",11.1%,N/A,N/A
Newman city,"5,400","4,600",800,14.3%,0.021308,0.028939
Oakdale city,"10,900","9,400","1,500",14.1%,0.043438,0.057879
Patterson city,"10,400","9,200","1,200",11.2%,0.042633,0.043700
Riverbank city,"10,500","9,700",800,8.0%,0.044784,0.031668
Salida CDP,"7,500","6,700",800,11.1%,0.030912,0.031310
Turlock city,"33,400","30,300","3,100",9.3%,N/A,N/A
Waterford city,"3,700","3,300",300,9.4%,0.015391,0.012882
West Modesto CDP,"2,100","1,800",300,15.9%,0.008366,0.012837
,,,,,,
,,,,,,
Modoc County                                                ,"3,190","2,910",280,8.8%,1.000000,1.000000
,,,,,,
Alturas city,"1,000",870,130,13.2%,0.298168,0.472414
,,,,,,
,,,,,,
Mono County                                                 ,"7,900","6,950",950,12.1%,1.000000,1.000000
,,,,,,
Mammoth Lakes town,"4,350","4,260",90,2.0%,0.613837,0.089109
,,,,,,
,,,,,,
Napa County                                                 ,"69,000","62,900","6,200",8.9%,1.000000,1.000000
,,,,,,
American Canyon city,"10,100","9,200",900,8.9%,0.146809,0.145373
Angwin CDP,"1,900","1,700",300,13.4%,0.026261,0.041493
Calistoga city,"2,400","2,200",200,8.4%,0.035589,0.033433
Deer Park CDP,400,300,100,22.5%,0.004933,0.014627
Napa city,"39,500","35,700","3,800",9.6%,N/A,N/A
St. Helena city,"2,900","2,700",200,6.6%,0.042953,0.030746
Yountville town,"1,200","1,100",100,9.9%,0.017399,0.019403
,,,,,,
,,,,,,
Nevada County                                               ,"46,870","43,060","3,810",8.1%,1.000000,1.000000
,,,,,,
Alta Sierra CDP,"3,660","3,470",190,5.2%,0.080615,0.050243
Grass Valley city,"5,690","5,400",290,5.1%,0.125415,0.076175
Lake of the Pines CDP,"1,960","1,810",150,7.8%,0.041991,0.040519
Lake Wildwood CDP,"1,630","1,490",150,9.1%,0.034498,0.038898
Nevada City city,"1,310","1,260",50,3.9%,0.029302,0.013506
Penn Valley CDP,380,380,10,2.1%,0.008742,0.002161
Truckee town,"9,160","8,630",530,5.8%,0.200343,0.139384
,,,,,,
,,,,,,
Ventura County                                              ,"410,900","375,000","35,900",8.7%,1.000000,1.000000
,,,,,,
Camarillo city,"33,700","31,100","2,600",7.6%,N/A,N/A
Casa Conejo CDP,"1,500","1,400",100,4.2%,0.003783,0.001718
Channel Islands Beach CDP,"1,600","1,500",200,10.5%,0.003868,0.004748
El Rio CDP,"3,000","2,400",600,20.3%,0.006309,0.016777
Fillmore city,"7,500","7,100",400,5.8%,0.018940,0.012255
Meiners Oaks CDP,"1,700","1,600",100,3.5%,0.004265,0.001628
Mira Monte CDP,"3,300","3,000",300,10.2%,0.007899,0.009361
Moorpark city,"18,900","17,500","1,400",7.7%,N/A,N/A
Oak Park CDP,"6,600","6,000",700,10.1%,0.015947,0.018631
Oak View CDP,"3,300","3,100",200,5.0%,0.008259,0.004522
Ojai city,"3,600","3,100",400,12.4%,0.008359,0.012345
Oxnard city,"97,900","88,600","9,300",9.5%,N/A,N/A
Piru CDP,"1,000",800,100,14.7%,0.002239,0.004025
Port Hueneme city,"10,300","9,100","1,200",11.6%,0.024192,0.033101
San Buenaventura (Ventura) city,"53,500","48,800","4,700",8.8%,N/A,N/A
Santa Paula city,"13,700","12,000","1,700",12.1%,N/A,N/A
Simi Valley city,"66,100","60,500","5,600",8.4%,N/A,N/A
Thousand Oaks city,"62,700","57,800","4,900",7.9%,N/A,N/A
,,,,,,
,,,,,,
Placer County                                               ,"187,400","173,400","14,000",7.5%,1.000000,1.000000
,,,,,,
Auburn city,"6,600","6,000",500,7.9%,0.034885,0.037262
Colfax city,"1,000",900,100,11.0%,0.005369,0.008210
Dollar Point CDP,500,500,0,0.0%,0.003123,0.000000
Foresthill CDP,700,600,100,17.4%,0.003172,0.008336
Granite Bay CDP,"10,500","10,100",500,4.6%,0.057989,0.034862
Kings Beach CDP,"1,800","1,700",0,2.7%,0.010048,0.003537
Lincoln city,"19,100","17,600","1,500",7.8%,N/A,N/A
Loomis town,"2,900","2,800",100,3.6%,0.016196,0.007579
Meadow Vista CDP,"1,600","1,400",100,8.5%,0.008295,0.009600
North Auburn CDP,"5,800","5,600",300,4.3%,0.032134,0.018062
Rocklin city,"33,900","31,500","2,400",7.1%,N/A,N/A
Roseville city,"70,300","65,000","5,200",7.5%,N/A,N/A
Sunnyside Tahoe City CDP,800,800,0,0.0%,0.004608,0.000000
Tahoe Vista CDP,700,700,0,0.0%,0.004022,0.000000
,,,,,,
,,,,,,
Plumas County                                               ,"7,640","6,800",840,11.0%,1.000000,1.000000
,,,,,,
Beckwourth CDP,240,240,0,0.0%,0.035079,0.000000
Belden CDP,0,0,0,0.0%,0.000000,0.000000
Bucks Lake CDP,20,20,0,0.0%,0.002708,0.000000
C Road CDP,30,30,0,0.0%,0.004901,0.000000
Canyondam CDP,0,0,0,0.0%,0.000000,0.000000
Chester CDP,970,950,20,2.4%,0.139412,0.026718
Chilcoot Vinton CDP,120,100,20,16.2%,0.014444,0.022901
Clio CDP,110,40,80,68.5%,0.005159,0.089695
Crescent Mills CDP,20,20,0,0.0%,0.003353,0.000000
Cromberg CDP,100,70,20,24.2%,0.010575,0.026718
Delleker CDP,180,130,50,27.3%,0.018829,0.057252
East Quincy CDP,"1,110","1,110",0,0.0%,0.162884,0.000000
East Shore CDP,30,30,0,0.0%,0.004901,0.000000
Graeagle CDP,130,130,0,0.0%,0.019732,0.000000
Greenhorn CDP,100,90,10,10.3%,0.012768,0.011450
Greenville CDP,480,370,110,22.1%,0.054552,0.124046
Hamilton Branch CDP,160,130,40,21.3%,0.018958,0.041985
Indian Falls CDP,0,0,0,0.0%,0.000000,0.000000
Iron Horse CDP,70,70,0,0.0%,0.010317,0.000000
Johnsville CDP,0,0,0,0.0%,0.000000,0.000000
Keddie CDP,40,20,20,51.4%,0.002450,0.020992
La Porte CDP,0,0,0,0.0%,0.000000,0.000000
Lake Almanor Country Club CDP,130,90,40,29.4%,0.013155,0.043893
Lake Almanor Peninsula CDP,130,110,20,12.4%,0.016637,0.019084
Lake Almanor West CDP,60,60,0,0.0%,0.008254,0.000000
Little Grass Valley CDP,0,0,0,0.0%,0.000000,0.000000
Meadow Valley CDP,220,220,0,0.0%,0.032241,0.000000
Mohawk Vista CDP,40,40,0,0.0%,0.005674,0.000000
Paxton CDP,0,0,0,0.0%,0.000000,0.000000
Plumas Eureka CDP,130,110,20,16.5%,0.015605,0.024809
Portola city,650,600,60,8.6%,0.087568,0.066794
Prattville CDP,0,0,0,0.0%,0.000516,0.000000
Quincy CDP,820,800,20,2.8%,0.117746,0.026718
Spring Garden CDP,0,0,0,0.0%,0.000000,0.000000
Taylorsville CDP,0,0,0,0.0%,0.000000,0.000000
Tobin CDP,0,0,0,0.0%,0.000000,0.000000
Twain CDP,120,60,60,51.6%,0.008770,0.076336
Valley Ranch CDP,0,0,0,0.0%,0.000000,0.000000
Whitehawk CDP,10,10,0,0.0%,0.001161,0.000000
,,,,,,
,,,,,,
Shasta County                                               ,"73,400","66,900","6,500",8.9%,1.000000,1.000000
,,,,,,
Anderson city,"4,100","3,800",300,7.5%,0.057250,0.047783
Burney CDP,"1,100","1,000",200,14.5%,0.014569,0.025183
Cottonwood CDP,"2,300","2,300",100,2.3%,0.034058,0.008179
Fall River Mills CDP,100,100,0,11.3%,0.001770,0.002368
Redding city,"39,800","36,400","3,400",8.6%,N/A,N/A
Shasta Lake city,"4,100","3,700",400,8.6%,0.055912,0.053594
Shingletown CDP,800,700,0,4.9%,0.010947,0.005811
,,,,,,
,,,,,,
Riverside County                                            ,"1,121,100","1,008,000","113,000",10.1%,1.000000,1.000000
,,,,,,
Banning city,"11,200","9,700","1,400",12.7%,N/A,N/A
Beaumont city,"23,900","21,800","2,100",8.8%,N/A,N/A
Bermuda Dunes CDP,"3,200","2,800",300,10.7%,0.002797,0.002999
Blythe city,"5,500","4,800",600,11.8%,0.004810,0.005730
Cabazon CDP,"1,200","1,200",100,5.0%,0.001143,0.000534
Calimesa city,"3,600","3,400",200,5.6%,0.003408,0.001809
Canyon Lake city,"5,400","5,000",300,5.9%,0.005003,0.002780
Cathedral City city,"27,300","24,100","3,200",11.6%,N/A,N/A
Cherry Valley CDP,"3,600","2,900",600,17.8%,0.002908,0.005633
Coachella city,"20,500","17,200","3,300",15.9%,N/A,N/A
Corona city,"85,100","78,000","7,100",8.4%,N/A,N/A
Desert Hot Springs city,"12,500","10,600","2,000",15.6%,N/A,N/A
East Hemet CDP,"8,900","7,900","1,000",11.4%,0.007818,0.008948
Eastvale City city,"33,800","31,000","2,900",8.5%,N/A,N/A
El Cerrito CDP,"2,400","2,200",200,7.2%,0.002174,0.001493
Hemet city,"30,300","26,300","4,000",13.3%,N/A,N/A
Highgrove CDP,"3,100","2,800",300,9.9%,0.002765,0.002720
Home Gardens CDP,"5,400","5,100",300,6.2%,0.005065,0.002962
Homeland CDP,"3,400","3,000",400,12.9%,0.002980,0.003934
Idyllwild Pine Cove CDP,"1,300","1,100",100,10.9%,0.001127,0.001226
Indian Wells city,"1,900","1,800",100,5.6%,0.001794,0.000959
Indio city,"41,900","36,800","5,100",12.1%,N/A,N/A
Jurupa Valley city,"49,300","44,900","4,500",9.1%,N/A,N/A
La Quinta city,"19,600","17,500","2,000",10.4%,N/A,N/A
Lake Elsinore city,"30,000","26,800","3,200",10.7%,N/A,N/A
Lakeland Village CDP,"5,300","4,900",500,8.7%,0.004828,0.004079
Lakeview CDP,"1,200","1,100",100,4.8%,0.001098,0.000498
March AFB CDP,300,300,0,0.0%,0.000261,0.000000
Mecca CDP,"2,900","2,400",400,15.6%,0.002388,0.003946
Menifee city,"41,800","37,600","4,200",10.1%,N/A,N/A
Moreno Valley city,"97,400","86,900","10,400",10.7%,N/A,N/A
Murrieta city,"56,600","51,600","5,100",9.0%,N/A,N/A
Norco city,"12,100","11,100","1,000",8.1%,N/A,N/A
Nuevo CDP,"3,200","3,100",100,4.5%,0.003060,0.001299
Palm Desert city,"25,300","22,500","2,800",11.0%,N/A,N/A
Palm Springs city,"23,600","21,000","2,500",10.7%,N/A,N/A
Perris city,"31,300","27,700","3,600",11.5%,N/A,N/A
Rancho Mirage city,"7,200","6,200","1,100",14.8%,0.006117,0.009494
Riverside city,"154,700","140,400","14,200",9.2%,N/A,N/A
Romoland CDP,"1,100","1,000",100,9.6%,0.000978,0.000923
San Jacinto city,"20,100","17,700","2,400",11.9%,N/A,N/A
Temecula city,"55,000","50,000","5,000",9.0%,N/A,N/A
Thousand Palms CDP,"3,100","2,900",200,6.7%,0.002842,0.001833
Valle Vista CDP,"7,800","7,100",700,8.6%,0.007085,0.005949
Wildomar city,"17,400","15,700","1,700",9.6%,N/A,N/A
Winchester CDP,"1,100","1,000",100,9.6%,0.001005,0.000947
Woodcrest CDP,"9,100","8,400",700,7.9%,0.008350,0.006362
,,,,,,
,,,,,,
Sacramento County                                           ,"712,200","644,800","67,400",9.5%,1.000000,1.000000
,,,,,,
Arden Arcade CDP,"42,600","37,400","5,200",12.2%,0.058053,0.076939
Carmichael CDP,"34,900","31,800","3,100",8.9%,0.049337,0.046065
Citrus Heights city,"43,000","39,100","3,900",9.2%,N/A,N/A
Elk Grove CDP,"83,500","76,700","6,800",8.2%,N/A,N/A
Fair Oaks CDP,"14,900","13,900","1,000",6.7%,0.021509,0.014702
Florin CDP,"20,100","16,900","3,200",16.1%,0.026142,0.047964
Folsom city,"37,900","35,600","2,300",6.2%,N/A,N/A
Foothill Farms CDP,"15,300","13,500","1,800",11.9%,0.020871,0.026912
Galt city,"11,400","10,300","1,100",9.8%,N/A,N/A
Gold River CDP,"3,700","3,400",300,8.5%,0.005228,0.004635
Isleton city,200,200,0,5.3%,0.000334,0.000184
La Riviera CDP,"6,000","5,600",300,5.6%,0.008716,0.004962
North Highlands CDP,"20,500","19,100","1,400",7.0%,0.029608,0.021481
Orangevale CDP,"16,700","15,400","1,300",7.9%,0.023915,0.019684
Rancho Cordova City,"35,600","32,300","3,300",9.3%,N/A,N/A
Rancho Murieta CDP,"2,300","2,200",100,4.1%,0.003442,0.001429
Rio Linda CDP,"6,800","6,300",500,7.8%,0.009776,0.007943
Rosemont CDP,"11,600","10,600","1,000",8.5%,0.016442,0.014702
Sacramento city,"237,300","213,800","23,400",9.9%,N/A,N/A
Vineyard CDP,"18,300","16,900","1,500",8.1%,0.026155,0.022032
Walnut Grove CDP,700,600,100,8.5%,0.000923,0.000817
Wilton CDP,"1,900","1,800",100,7.0%,0.002766,0.002001
,,,,,,
,,,,,,
Monterey County                                             ,"214,600","190,700","23,900",11.1%,1.000000,1.000000
,,,,,,
Aromas CDP (Monterey Co),"1,600","1,500",100,4.4%,0.008101,0.002975
Boronda CDP,"1,000",700,400,34.2%,0.003587,0.014875
Bradley CDP,0,0,0,0.0%,0.000223,0.000000
Carmel by the Sea city,"2,000","2,000",0,0.1%,0.010231,0.000099
Carmel Valley Village CDP,"2,400","2,200",100,5.3%,0.011715,0.005256
Castroville CDP,"3,100","2,500",600,18.6%,0.013140,0.023899
Chualar CDP,700,700,0,4.9%,0.003677,0.001488
Del Monte Forest CDP,"1,300","1,200",100,9.7%,0.006125,0.005256
Del Rey Oaks city,"1,000",800,200,20.1%,0.004218,0.008429
Elkhorn CDP,700,500,200,22.3%,0.002750,0.006248
Gonzales city,"4,300","3,900",300,7.6%,0.020675,0.013586
Greenfield city,"7,900","7,300",500,6.9%,0.038387,0.022610
King City city,"5,800","5,500",300,5.1%,0.028670,0.012198
Las Lomas CDP,"2,000","1,900",100,6.9%,0.009807,0.005752
Marina city,"12,400","11,100","1,300",10.4%,N/A,N/A
Monterey city,"15,300","14,000","1,300",8.5%,N/A,N/A
Moss Landing CDP,0,0,0,0.0%,0.000143,0.000000
Pacific Grove city,"8,200","7,200","1,000",12.2%,0.037831,0.042047
Pajaro CDP,"2,300","1,400",900,39.0%,0.007381,0.037584
Prunedale CDP,"10,900","9,400","1,500",13.6%,0.049371,0.061880
Salinas city,"78,300","68,000","10,300",13.1%,N/A,N/A
San Ardo CDP,300,300,0,0.0%,0.001409,0.000000
San Lucas CDP,200,200,0,0.0%,0.000821,0.000000
Sand City city,200,200,0,4.5%,0.001001,0.000397
Seaside city,"17,600","15,800","1,700",9.8%,N/A,N/A
Soledad city,"7,700","6,600","1,100",14.6%,N/A,N/A
Spreckels CDP,200,200,0,0.0%,0.000948,0.000000
,,,,,,
,,,,,,
San Benito County                                           ,"32,600","29,400","3,200",9.9%,1.000000,1.000000
,,,,,,
Hollister city,"21,200","18,900","2,300",10.8%,N/A,N/A
Ridgemark CDP,"1,400","1,300",100,4.8%,0.044227,0.020340
San Juan Bautista city,"1,000","1,000",0,4.7%,0.033407,0.014944
,,,,,,
,,,,,,
San Bernardino County                                       ,"974,700","880,900","93,800",9.6%,1.000000,1.000000
,,,,,,
Adelanto city,"10,200","8,500","1,600",16.2%,N/A,N/A
Apple Valley town,"29,300","26,400","2,800",9.7%,N/A,N/A
Barstow city,"9,900","8,900","1,000",10.2%,N/A,N/A
Big Bear City CDP,"5,300","4,800",600,10.4%,0.005428,0.005907
Big Bear Lake city,"2,400","2,200",200,6.4%,0.002504,0.001604
Big River CDP,500,400,0,5.7%,0.000488,0.000274
Bloomington CDP,"9,400","8,900",600,6.2%,0.010049,0.006223
Bluewater CDP,0,0,0,17.0%,0.000044,0.000082
Chino city,"43,900","39,900","4,000",9.2%,N/A,N/A
Chino Hills city,"45,700","42,400","3,400",7.4%,N/A,N/A
Colton city,"24,800","22,300","2,500",10.1%,N/A,N/A
Crestline CDP,"4,400","4,100",300,6.3%,0.004668,0.002960
Fontana city,"100,700","91,300","9,400",9.4%,N/A,N/A
Grand Terrace city,"6,500","5,800",600,9.9%,0.006607,0.006826
Hesperia city,"36,800","32,600","4,100",11.2%,N/A,N/A
Highland city,"25,000","22,500","2,500",10.2%,N/A,N/A
Joshua Tree CDP,"3,100","2,700",400,13.9%,0.003020,0.004591
Lake Arrowhead CDP,"4,300","3,900",400,9.7%,0.004405,0.004441
Lenwood CDP,"1,800","1,700",100,5.1%,0.001907,0.000959
Loma Linda city,"11,300","10,100","1,200",10.4%,0.011477,0.012500
Mentone CDP,"4,800","4,500",300,6.2%,0.005082,0.003180
Montclair city,"19,900","18,100","1,800",9.2%,N/A,N/A
Morongo Valley CDP,"1,400","1,200",200,11.8%,0.001381,0.001741
Mountain View Acres CDP,"1,200","1,000",200,13.7%,0.001187,0.001768
Muscoy CDP,"4,500","3,800",700,16.5%,0.004295,0.007963
Needles city,"1,600","1,400",200,12.3%,0.001581,0.002083
Ontario city,"89,800","81,600","8,200",9.1%,N/A,N/A
Rancho Cucamonga city,"96,200","88,700","7,500",7.8%,N/A,N/A
Redlands city,"35,600","32,900","2,700",7.6%,N/A,N/A
Rialto city,"45,500","40,500","4,900",10.8%,N/A,N/A
Running Springs CDP,"1,900","1,800",100,7.4%,0.002023,0.001521
San Antonio Heights CDP,"1,500","1,400",0,3.0%,0.001643,0.000480
San Bernardino city,"86,900","76,200","10,700",12.3%,N/A,N/A
Searles Valley CDP,500,500,0,8.1%,0.000566,0.000466
Twentynine Palms city,"7,200","6,500",700,9.2%,N/A,N/A
Upland city,"40,000","36,500","3,500",8.8%,N/A,N/A
Victorville city,"47,700","41,800","5,900",12.4%,N/A,N/A
Wrightwood CDP,"1,800","1,700",100,5.1%,0.001972,0.001001
Yucaipa city,"25,500","23,500","2,000",8.0%,N/A,N/A
Yucca Valley town,"9,700","8,300","1,400",14.2%,0.009466,0.014720
,,,,,,
,,,,,,
San Diego County                                            ,"1,547,300","1,401,900","145,400",9.4%,1.000000,1.000000
,,,,,,
Bonita CDP,"5,900","5,200",800,13.1%,0.003678,0.005333
Bostonia CDP,"8,300","7,300","1,000",12.1%,0.005177,0.006875
Carlsbad city,"53,500","49,000","4,500",8.3%,N/A,N/A
Casa de Oro Mount Helix CDP,"9,000","8,100",900,10.2%,0.005758,0.006301
Chula Vista city,"122,500","109,500","13,000",10.6%,N/A,N/A
Coronado city,"7,700","7,200",500,6.5%,N/A,N/A
Del Mar city,"2,000","2,000",100,3.1%,0.001415,0.000440
El Cajon city,"44,900","39,400","5,500",12.3%,N/A,N/A
Encinitas city,"31,800","29,500","2,300",7.2%,N/A,N/A
Escondido city,"66,800","60,700","6,100",9.2%,N/A,N/A
Fallbrook CDP,"13,100","11,800","1,300",10.2%,0.008410,0.009211
Imperial Beach city,"12,000","10,500","1,500",12.4%,N/A,N/A
La Mesa city,"30,000","27,100","2,900",9.5%,N/A,N/A
Lakeside CDP,"9,400","8,200","1,200",12.4%,0.005881,0.007995
Lemon Grove city,"12,300","10,800","1,500",12.0%,N/A,N/A
National City city,"24,800","21,600","3,200",12.9%,N/A,N/A
Oceanside city,"80,400","72,200","8,200",10.2%,N/A,N/A
Poway city,"24,300","22,600","1,600",6.7%,N/A,N/A
Ramona CDP,"10,500","9,800",700,6.5%,0.006982,0.004721
San Diego city,"701,100","636,900","64,200",9.2%,N/A,N/A
San Marcos city,"41,500","38,000","3,500",8.5%,N/A,N/A
Santee city,"28,200","25,900","2,300",8.3%,N/A,N/A
Solana Beach city,"5,800","5,600",200,3.8%,0.003974,0.001513
Spring Valley CDP,"15,100","13,300","1,800",11.6%,0.009506,0.012036
Valley Center CDP,"4,900","4,500",300,7.0%,0.003220,0.002356
Vista city,"44,000","39,500","4,400",10.1%,N/A,N/A
,,,,,,
,,,,,,
San Francisco County                                        ,"560,100","515,600","44,500",7.9%,1.000000,1.000000
,,,,,,
San Francisco City and County,"560,100","515,600","44,500",7.9%,1.000000,1.000000
,,,,,,
,,,,,,
San Luis Obispo County                                      ,"134,400","123,900","10,500",7.8%,1.000000,1.000000
,,,,,,
Arroyo Grande city,"8,300","8,000",300,4.1%,0.064264,0.032337
Atascadero city,"14,700","13,700","1,100",7.4%,N/A,N/A
Cambria CDP,"2,300","2,000",300,11.7%,0.016154,0.025349
Cayucos CDP,"1,000","1,000",100,8.3%,0.007746,0.008287
El Paso de Robles (Paso Robles) city,"15,400","14,200","1,300",8.2%,N/A,N/A
Grover Beach city,"7,200","6,700",500,6.8%,0.053924,0.046311
Lake Nacimiento CDP,"1,400","1,300",200,12.2%,0.010105,0.016575
Morro Bay city,"5,000","4,200",800,16.1%,0.033791,0.076698
Nipomo CDP,"8,300","7,700",600,6.9%,0.062507,0.054924
Oceano CDP,"3,500","3,400",200,4.3%,0.027293,0.014625
Pismo Beach city,"3,800","3,600",200,4.6%,0.028906,0.016575
San Luis Obispo city,"24,600","22,700","1,900",7.7%,N/A,N/A
San Miguel CDP,"1,200","1,100",100,9.8%,0.008940,0.011537
Shandon CDP,600,500,100,18.9%,0.003842,0.010562
Templeton CDP,"3,700","3,200",500,14.2%,0.025604,0.050211
,,,,,,
,,,,,,
San Mateo County                                            ,"439,500","409,000","30,400",6.9%,1.000000,1.000000
,,,,,,
Atherton town,"3,100","2,800",200,7.7%,0.006938,0.007787
Belmont city,"15,700","14,900",900,5.4%,N/A,N/A
Brisbane city,"3,000","2,600",400,14.5%,0.006258,0.014295
Broadmoor CDP,"2,600","2,400",200,9.2%,0.005756,0.007845
Burlingame city,"17,300","16,200","1,000",6.0%,N/A,N/A
Daly City city,"64,900","58,600","6,300",9.6%,N/A,N/A
East Palo Alto city,"14,700","13,400","1,300",9.0%,N/A,N/A
El Granada CDP,"3,800","3,300",600,14.4%,0.007979,0.018072
Foster City city,"18,600","17,600","1,000",5.2%,N/A,N/A
Half Moon Bay city,"6,800","6,700",200,2.3%,0.016319,0.005055
Hillsborough town,"5,200","4,900",300,6.1%,0.011929,0.010343
Menlo Park city,"19,200","18,400",800,4.2%,N/A,N/A
Millbrae city,"12,800","11,800",900,7.4%,0.028925,0.031146
North Fair Oaks CDP,"8,100","7,600",500,6.0%,0.018661,0.016038
Pacifica city,"23,400","21,600","1,700",7.4%,N/A,N/A
Redwood City city,"48,300","45,600","2,700",5.6%,N/A,N/A
San Bruno city,"27,300","25,100","2,200",8.0%,N/A,N/A
San Carlos city,"16,700","15,800",900,5.1%,N/A,N/A
San Mateo city,"61,600","57,700","3,800",6.2%,N/A,N/A
South San Francisco city,"38,900","35,400","3,500",9.0%,N/A,N/A
West Menlo Park CDP,"1,900","1,700",200,9.5%,0.004247,0.005985
,,,,,,
,,,,,,
