Area Name,Labor Force,Employment,Unemployment Number,Unemployment Rate,Census Ratios Emp,Census Ratios Unemp
Durham CDP,"2,700","2,500",300,9.4%,0.029275,0.029270
Gridley city,"2,500","2,300",200,8.8%,0.027078,0.025237
Magalia CDP,"4,100","3,700",400,8.9%,0.044131,0.041629
Oroville city,"6,300","5,700",600,9.9%,0.066857,0.070899
Oroville East CDP,"3,000","2,800",200,8.2%,0.032585,0.028099
Palermo CDP,"2,000","1,700",200,11.4%,0.020488,0.025498
Paradise town,"1,800","1,600",200,8.8%,N/A,N/A
South Oroville CDP,"1,000","1,000",100,8.6%,0.011264,0.010277
Thermalito CDP,"2,300","1,900",300,14.3%,0.022841,0.037076
,,,,,,
,,,,,,
Colusa County                                               ,"10,640","8,890","1,750",16.4%,1.000000,1.000000
,,,,,,
Arbuckle CDP,"1,780","1,590",180,10.2%,0.179191,0.103529
Colusa city,"2,870","2,550",320,11.1%,0.286746,0.181176
Williams city,"2,620","2,140",480,18.4%,0.240504,0.275294
,,,,,,
,,,,,,
Contra Costa County                                         ,"547,400","498,100","49,300",9.0%,1.000000,1.000000
,,,,,,
Alamo CDP,"5,400","5,200",300,5.1%,0.010354,0.005572
Antioch city,"50,800","44,600","6,200",12.2%,N/A,N/A
Bay Point CDP,"12,100","10,500","1,700",13.8%,0.021003,0.033888
Bethel Island CDP,800,600,100,15.7%,0.001279,0.002418
Brentwood city,"29,200","26,600","2,600",9.0%,N/A,N/A
Byron CDP,"1,000",800,200,17.4%,0.001607,0.003429
Clayton city,"5,100","4,700",400,8.6%,0.009402,0.008939
Clyde CDP,300,300,0,0.0%,0.000669,0.000000
Concord city,"63,700","58,000","5,700",8.9%,N/A,N/A
Crockett CDP,"1,600","1,400",200,12.2%,0.002832,0.003980
Danville town,"19,800","18,600","1,300",6.3%,N/A,N/A
Diablo CDP,200,200,0,0.0%,0.000353,0.000000
Discovery Bay CDP,"7,500","6,800",600,8.4%,0.013742,0.012766
East Richmond Heights CDP,"1,900","1,800",100,5.4%,0.003634,0.002112
El Cerrito city,"13,400","12,300","1,100",8.0%,N/A,N/A
El Sobrante CDP,"7,500","7,000",500,7.0%,0.014083,0.010653
Hercules city,"13,900","12,700","1,200",8.6%,N/A,N/A
Kensington CDP,"2,300","2,200",100,5.9%,0.004420,0.002816
Knightsen CDP,500,500,0,2.8%,0.000991,0.000276
Lafayette city,"11,700","11,100",700,5.8%,N/A,N/A
Martinez city,"19,700","18,100","1,600",7.9%,N/A,N/A
Moraga town,"6,900","6,400",600,8.3%,0.012793,0.011633
Mountain View CDP,"1,100","1,000",200,13.9%,0.001985,0.003245
Oakley city,"19,800","17,800","2,000",10.0%,N/A,N/A
Orinda city,"8,400","8,000",400,5.3%,0.016019,0.009092
Pacheco CDP,"2,700","2,500",300,9.5%,0.004961,0.005265
Pinole city,"9,700","8,900",800,8.5%,0.017827,0.016653
Pittsburg city,"34,300","30,300","4,000",11.5%,N/A,N/A
Pleasant Hill city,"17,400","16,000","1,300",7.6%,N/A,N/A
Port Costa CDP,100,100,0,0.0%,0.000252,0.000000
Richmond city,"52,600","46,600","6,000",11.3%,N/A,N/A
Rodeo CDP,"4,900","4,300",600,11.8%,0.008609,0.011633
Rollingwood CDP,"1,800","1,400",400,22.4%,0.002848,0.008296
San Pablo city,"13,700","12,100","1,600",11.6%,N/A,N/A
San Ramon city,"41,200","38,600","2,600",6.3%,N/A,N/A
Tara Hills CDP,"2,500","2,500",100,2.3%,0.004920,0.001163
Vine Hill CDP,"1,600","1,500",100,6.0%,0.003005,0.001929
Walnut Creek city,"32,900","30,700","2,200",6.7%,N/A,N/A
,,,,,,
,,,,,,
Del Norte County                                            ,"9,450","8,540",910,9.7%,1.000000,1.000000
,,,,,,
Bertsch Oceanview CDP,810,670,140,17.6%,0.077939,0.155200
Crescent City city,"1,570","1,380",190,12.1%,0.161445,0.208000
Klamath CDP,350,280,80,21.8%,0.032420,0.084800
,,,,,,
,,,,,,
Imperial County                                             ,"71,700","55,500","16,200",22.6%,1.000000,1.000000
,,,,,,
Brawley city,"10,200","8,200","1,900",18.9%,N/A,N/A
Calexico city,"18,300","12,000","6,300",34.4%,N/A,N/A
Calipatria city,"1,200","1,000",200,20.4%,0.017381,0.015248
El Centro city,"18,600","15,100","3,500",19.0%,N/A,N/A
Heber CDP,"3,500","3,200",300,9.1%,0.057001,0.019483
Holtville city,"2,500","1,800",600,25.6%,0.033064,0.038967
Imperial city,"7,400","6,300","1,100",15.2%,0.113380,0.069568
Westmorland city,"1,000",700,200,25.6%,0.013027,0.015354
,,,,,,
,,,,,,
El Dorado County                                            ,"91,100","83,400","7,700",8.5%,1.000000,1.000000
,,,,,,
Cameron Park CDP,"8,500","8,000",500,5.6%,0.095833,0.061949
Diamond Springs CDP,"5,000","4,400",600,12.4%,0.052760,0.080772
El Dorado Hills CDP,"21,800","20,500","1,300",5.9%,0.245696,0.165833
Georgetown CDP,"1,300",900,400,32.3%,0.010210,0.052657
Placerville city,"5,400","5,000",400,7.9%,0.059756,0.055754
Pollock Pines CDP,"2,700","2,500",100,5.5%,0.030093,0.018823
Shingle Springs CDP,"1,500","1,500",0,0.0%,0.018370,0.000000
South Lake Tahoe city,"13,700","12,500","1,200",8.8%,0.149955,0.156779
,,,,,,
,,,,,,
Fresno County                                               ,"446,500","394,500","52,000",11.7%,1.000000,1.000000
,,,,,,
Auberry CDP,"1,300","1,200",100,7.6%,0.002956,0.001839
Biola CDP,800,600,200,23.3%,0.001498,0.003451
Calwa CDP,"1,000",700,300,26.7%,0.001813,0.004988
Cantua Creek CDP,100,100,0,0.0%,0.000299,0.000000
Caruthers CDP,900,800,100,13.6%,0.001916,0.002292
Clovis city,"56,400","51,800","4,500",8.0%,N/A,N/A
Coalinga city,"6,200","5,500",800,12.6%,0.013822,0.015140
Del Rey CDP,600,500,100,10.1%,0.001314,0.001108
Easton CDP,"1,100","1,100",100,8.4%,0.002665,0.001839
Firebaugh city,"3,400","2,500",900,26.4%,0.006338,0.017281
Fowler city,"2,600","2,400",200,7.4%,0.006182,0.003753
Fresno city,"233,200","207,400","25,800",11.1%,N/A,N/A
Friant CDP,200,200,0,13.5%,0.000536,0.000630
Huron city,"3,200","2,400",800,24.0%,0.006103,0.014611
Kerman city,"7,000","5,900","1,000",14.8%,0.015014,0.019750
Kingsburg city,"5,300","4,900",400,7.1%,0.012488,0.007230
Lanare CDP,100,100,0,34.6%,0.000135,0.000529
Laton CDP,800,700,100,10.0%,0.001806,0.001511
Mendota city,"5,200","4,100","1,100",20.8%,0.010433,0.020757
Orange Cove city,"4,100","3,400",700,16.6%,0.008729,0.013200
Parlier city,"6,800","6,400",400,6.2%,0.016100,0.008036
Raisin City CDP,200,100,100,35.6%,0.000318,0.001335
Reedley city,"12,400","10,200","2,200",18.0%,N/A,N/A
Riverdale CDP,"1,000","1,000",100,5.2%,0.002411,0.001008
San Joaquin city,"1,600","1,300",300,18.5%,0.003213,0.005542
Sanger city,"12,000","10,500","1,400",11.8%,N/A,N/A
Selma city,"10,800","9,600","1,200",10.9%,0.024441,0.022773
Shaver Lake CDP,200,200,0,1.6%,0.000453,0.000050
Squaw Valley CDP,"1,100","1,000",100,4.9%,0.002631,0.001033
Tranquillity CDP,200,200,100,23.4%,0.000455,0.001058
,,,,,,
,,,,,,
Glenn County                                                ,"12,780","11,630","1,150",9.0%,1.000000,1.000000
,,,,,,
Hamilton City CDP,"1,230","1,080",160,12.8%,0.092483,0.137640
Orland city,"3,580","3,370",210,5.8%,0.289949,0.179775
Willows city,"2,520","2,230",290,11.6%,0.191385,0.254213
,,,,,,
,,,,,,
Kings County                                                ,"57,100","50,300","6,800",11.9%,1.000000,1.000000
,,,,,,
Armona CDP,"1,600","1,500",100,8.0%,0.029746,0.019184
Avenal city,"4,000","3,400",600,16.0%,0.066627,0.094507
Corcoran city,"4,400","3,600",900,19.5%,N/A,N/A
Hanford city,"25,200","22,500","2,700",10.8%,N/A,N/A
Home Garden CDP,600,500,100,20.8%,0.009052,0.017771
Kettleman City CDP,600,600,100,11.9%,0.010915,0.010905
Lemoore city,"11,900","10,700","1,200",10.0%,N/A,N/A
Lemoore Station CDP,"1,200","1,100",100,10.0%,0.021756,0.017973
Stratford CDP,300,300,0,9.2%,0.005681,0.004241
,,,,,,
,,,,,,
Humboldt County                                             ,"59,900","54,800","5,100",8.5%,1.000000,1.000000
,,,,,,
Arcata city,"9,900","8,500","1,400",13.8%,0.155225,0.266546
Blue Lake city,400,400,0,6.8%,0.007557,0.005927
Eureka city,"12,200","11,100","1,100",8.8%,N/A,N/A
Ferndale city,500,500,0,1.2%,0.009127,0.001152
Fortuna city,"5,100","4,800",300,5.8%,0.087983,0.057787
Hydesville CDP,400,400,0,1.7%,0.007590,0.001317
McKinleyville CDP,"7,000","6,600",400,5.4%,0.120418,0.073428
Redway CDP,500,400,0,10.0%,0.007900,0.009384
Rio Dell city,"1,500","1,300",200,11.4%,0.024486,0.033586
Trinidad city,200,200,0,6.1%,0.002797,0.001976
Willow Creek CDP,400,400,0,0.0%,0.006510,0.000000
,,,,,,
,,,,,,
Inyo County                                                 ,"8,340","7,670",670,8.0%,1.000000,1.000000
,,,,,,
Big Pine CDP,670,610,60,8.6%,0.079891,0.087879
Bishop city,"1,760","1,620",150,8.3%,0.210768,0.221212
Cartago CDP,20,20,0,0.0%,0.002853,0.000000
Darwin CDP,0,0,0,0.0%,0.000000,0.000000
Dixon Lane Meadow Creek CDP,"1,210","1,070",140,11.8%,0.139437,0.215152
Furnace Creek CDP,70,70,10,8.5%,0.008436,0.009091
Independence CDP,270,250,10,5.3%,0.032750,0.021212
Keeler CDP,0,0,0,0.0%,0.000000,0.000000
Lone Pine CDP,580,500,70,12.3%,0.065749,0.106061
Mesa CDP,220,220,0,0.0%,0.028905,0.000000
Olancha CDP,100,100,0,0.0%,0.013522,0.000000
Round Valley CDP,170,170,0,0.0%,0.022702,0.000000
