City,2015,2016,2017,2018,2019,2020,2021
Cazadero,391953.3,443037.8,474904.1,514831.9,509501.3,521396.8,582891.4
Ceres,218916.8,241218.2,263379.7,287808.9,305720.5,325232.7,385281.8
Cerritos,613224.5,624852.2,670756.5,728197.6,744540.6,772775.8,871192.5
Chester,188762.8,202862.1,215401.6,233277.3,254340.2,269642,317108.7
Chico,289665.3,305104.4,324691.8,344313.4,387542.6,403661,444352
Chino,422746,436920.9,467654.4,510449.2,513850.4,531254.8,622070.7
Chino Hills,546621.1,552286.4,598327.1,656159.1,657091.5,667441.5,760970.4
Chowchilla,178791,195090.3,209173.5,234328.9,248536.5,267504.3,316201.6
Chualar,400199.3,447775,472601.9,506393.3,538186.7,573597,645384.2
Chula Vista,464709.7,500831.1,529418.7,553632,560754,597277.5,709754.5
Citrus Heights,255666.8,280924.9,307753.1,336571.2,348848.6,370835.3,435731.2
Claremont,554861.6,569028.6,613065.2,661169.1,678744,711426.9,804937.8
Clarksburg,475500.2,503483.8,553847.2,585482.7,610226.6,626886.8,717584.9
Clearlake,96258.3,112564.7,131631.2,150817.5,165923.2,174440.5,206810
Clearlake Oaks,137188,154137.1,171981.4,192433.7,202926.4,212321.4,247581.4
Clio,389566,410331.7,428647.3,463391.9,483849.8,492033.1,590373.6
Clipper Mills,147860.3,162271.2,174214.5,193503.4,215579.6,220943.8,261374.8
Cloverdale,409687.2,456378.4,501461.8,554457.6,557096,564264.8,618022.1
Clovis,282788.5,298159.8,318204.6,343806.2,356743.8,372834.8,433499.8
Coachella,185484.7,210601.2,229389.7,248696.6,259053.2,276192.8,326703.1
Coalinga,153397.2,160966.8,171506.5,183139.4,193185.6,202544,227300.8
Coarsegold,229974.1,237701,252713.7,283679.9,295870,306111.5,363524.6
Cobb,192957.2,215684,230711.3,247181.8,269316.9,282381.9,316255.8
Coleville,195571.5,222373,233029.9,249129.9,258771.8,275970.7,329695.6
Colfax,303091.6,333216.6,365173.7,393516.9,400341.3,420955,486748.5
Colma,735717.9,816183.7,879924.4,1012266.5,1040206.7,1026155.7,1080702.8
Colton,215492.3,229431.9,257779.2,297123.1,309725.8,326622.4,384005.9
Colusa,188100.1,206977.8,223049.2,246229.6,267197.6,279481.3,322970.2
Commerce,322545.5,341323.2,382441.6,433368.6,457764.2,490168.8,553310.1
Compton,266784.7,288405.7,328183.3,379015.2,409931.3,443512.5,504611.7
Concord,475274,518032.3,553455.6,597187.7,603556.5,633301.5,746219.3
Cool,321438.3,351278,384834.3,406197.1,415541.7,421478.3,495949.2
Copperopolis,308296.2,321515.4,340732.8,354432.1,371303.3,389433.1,473705.5
Corcoran,108118.3,120778.7,137687.8,152197.1,163644.1,176250.7,201362.2
Corning,153000.9,164462.5,174826.2,188681.8,212266.8,237218.1,275645.6
Corona,417459.4,431831.9,452220.6,488483.9,498596.7,520818.6,619987.8
Coronado,1516805.4,1599359.5,1658250,1742929.2,1748300.6,1815873.4,2154247.6
Corte Madera,1202669.4,1294321.1,1353214.4,1451358.3,1439109.7,1488303.5,1690473.1
Costa Mesa,675718.4,696365.9,760338.4,828908.7,828449.7,871113.5,1004285.7
Cotati,496926,544134.5,586329.8,643724.8,648032.2,654635.4,730533.7
Coto de Caza,966418.4,977217.1,1036659.8,1101890.2,1094552.2,1131612.6,1339658.1
Cottonwood,212464.7,224664.3,236879.5,256165.3,272006.2,290817.4,341811
Coulterville,187675.4,208189.6,231668.8,248035.7,251726.4,262110.8,315389.6
Courtland,335960.7,365909.3,399373.1,434958.7,447018.4,464276.1,528475.7
Covelo,236531.5,260074.9,306792.4,333505.5,354905.4,392749.3,411548.8
Covina,414979.6,430276.6,469502.6,519540.8,533523.2,564629.6,652795.6
Crescent City,185672.8,201358.2,220271.2,243260.2,252293.9,273617,305198.5
Crestline,155284.1,167743.8,190497.3,224315,231835.6,242362.6,304153.6
Creston,607298.2,627139.2,683602.3,725332.8,735681.4,748898.2,856583.3
Crows Landing,414070.7,458720.8,507334.3,569854.8,604681,636544.4,746075.4
Cudahy,318840.6,336158.1,377473.5,425335.5,451612.5,491091.3,552461
Culver City,828692.4,854270.5,962852.9,1159331.1,1232735.8,1289780.9,1435267.7
Cupertino,1734033.9,1770795,1779510.7,2165364,2141715.1,2149506.9,2469506.5
Cutler,112642.6,122514.7,139053.4,152083.4,167466.8,186026.2,208888.7
Cypress,543050.1,562445.3,613763.8,666412.1,674229.6,708490.6,809875.3
Daggett,56969.5,59838,73401.4,100329.4,106712.3,127711.3,182600.5
Daly City,730705.3,816755.7,874699.2,996230.1,1020646.1,1070145.7,1152230.9
