City,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2015 Price,2016 Price,2017 Price,2018 Price,2019 Price,2020 Price,2021 Price,2016 Population Change (%),2017 Population Change (%),2018 Population Change (%),2019 Population Change (%),2020 Population Change (%),2021 Population Change (%),2016 Price Change (%),2017 Price Change (%),2018 Price Change (%),2019 Price Change (%),2020 Price Change (%),2021 Price Change (%)
Armona,3724.0,3655.0,3730.0,3795.0,4407.0,4437.0,4521.0,123704.1,133890.9,144745.0,160061.0,171870.6,186342.9,221684.8,-1.852846401718582,2.0519835841313268,1.742627345844504,16.126482213438738,0.6807351940095302,1.8931710615280595,8.234811942368918,8.106674912185971,10.581367232028741,7.378187066181022,8.420462836575881,18.966056662207144
Arnold,2554.0,2624.0,2798.0,2605.0,2291.0,2099.0,2109.0,247493.3,261398.8,277290.8,297861.9,311825.6,319029.2,411621.8,2.74079874706343,6.63109756097561,-6.897784131522516,-12.053742802303264,-8.380619816673942,0.47641734159123394,5.618535936124331,6.079599447281319,7.4186016990105825,4.687977885053426,2.3101374614528236,29.02323674447354
Aromas,2860.0,2508.0,2650.0,2553.0,2479.0,2609.0,2941.0,569138.5,633989.2,680577.2,723835.1,742687.4,763732.4,893910.4,-12.307692307692308,5.6618819776714515,-3.6603773584905657,-2.898550724637681,5.244050020169423,12.725182062092754,11.394537533482616,7.348390161851339,6.3560607084692275,2.604502047496736,2.833628253286645,17.044975439041213
Arroyo Grande,17720.0,17842.0,17971.0,18039.0,18033.0,17924.0,18422.0,596477.4,626322.5,682673.1,709701.3,716463.4,731346.2,828373.4,0.6884875846501128,0.7230131151216231,0.37838740192532416,-0.033261267254282384,-0.6044474019852493,2.778397679089489,5.003559229570135,8.997058224796326,3.959171673821639,0.9528093016033613,2.07725893604613,13.266931584521815
Artesia,16785.0,16789.0,16853.0,16817.0,16758.0,16456.0,16390.0,408643.8,425662.8,469631.5,524427.7,544896.5,576949.9,654952.7,0.023830801310694073,0.3812019774852582,-0.21361181985403194,-0.3508354641136945,-1.802124358515336,-0.4010695187165776,4.164751796062977,10.329467362428666,11.667914098607088,3.903073769749395,5.882474928725,13.519856750126818
Arvin,20328.0,20562.0,20826.0,21005.0,21249.0,21220.0,19568.0,136171.0,148365.9,157861.7,171295.0,181776.8,197144.9,226175.7,1.1511216056670601,1.2839217974905166,0.8595025448958034,1.16162818376577,-0.13647701068285567,-7.785108388312913,8.955577913065186,6.400257741165603,8.509537145488732,6.119151171954808,8.454379216709727,14.725615524418851
Atascadero,29084.0,29516.0,29797.0,30037.0,30130.0,30444.0,29771.0,429587.8,458956.1,505066.9,535332.1,541742.4,560612.1,639963.6,1.4853527712831798,0.952026019785879,0.8054502131087024,0.30961813763025603,1.0421506803849985,-2.2106162133753777,6.8363906051335706,10.046886837324976,5.9923150774679454,1.1974436055674686,3.483149925130459,14.154439406498721
Atherton,7081.0,7127.0,7182.0,7185.0,7168.0,7060.0,7181.0,5311596.8,5715341.1,5818304.7,6293548.3,6114062.5,6424026.8,7234002.9,0.6496257590735772,0.7717132033113512,0.04177109440267335,-0.23660403618649967,-1.5066964285714286,1.7138810198300283,7.6011850146456865,1.801530270870457,8.16807686266413,-2.8519015258848466,5.0696946588295395,12.608541732733752
Atwater,28858.0,28906.0,29118.0,29197.0,29296.0,30336.0,31401.0,196104.2,214385.3,236559.9,259838.4,279105.0,293381.7,349230.2,0.1663316931180262,0.7334117484259323,0.27130984270897723,0.33907593245881423,3.54997269251775,3.5106803797468356,9.322135884901995,10.343339771896677,9.84042519463358,7.414839377089763,5.115171709571671,19.03612256660862
Auberry,2420.0,2309.0,2582.0,2476.0,2009.0,3321.0,3092.0,275554.6,293596.6,304408.9,323845.9,328546.9,332495.2,393430.9,-4.586776859504132,11.823300129926375,-4.105344694035631,-18.861066235864296,65.3061224489796,-6.89551339957844,6.547522705119059,3.6827061348803243,6.385161537655436,1.4516163397467745,1.2017462347080394,18.326790882996207
